,question,answer,pred_ans,ROUGE-1-precision,ROUGE-1-recall,ROUGE-1-fmeature,ROUGE-2-precision,ROUGE-2-recall,ROUGE-2-fmeature,ROUGE-L-precision,ROUGE-L-recall,ROUGE-L-fmeature
0,Which is not a nonstate actor that poses a threat to the United States?,Drug traffickers,Drug traffickers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Who was the first American president to visit communist China?,George H. W. Bush,George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,The Strategic Arms Reduction Treaty was the first accord,on nuclear weapons signed between the United States and the Soviet Union.,mandating the elimination of many long-range nuclear missiles.,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.0,0.0,0.0,0.08333333333333333,0.1111111111111111,0.09523809523809525
3,Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,He believed that German domination of Europe would be in US interests,He believed that German domination of Europe would be in US interests.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,"What, according to Systemic theories, is the primary determinant of a state's foreign policy?",A state's political ideology,The state's political ideology.,0.8,0.8,0.8000000000000002,0.75,0.75,0.75,0.8,0.8,0.8000000000000002
5,"Within American politics, the power to accord official recognition to other countries belongs to",the Senate.,the Senate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,What did the Moscow Treaty on Strategic Offensive Reductions do?,Required the United States and Russia to demobilize their armies,Required the United States and Russia to demobilize their armies.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,What were the 'open-door notes'?,"An American proclamation that China should be divided up between the US, Japan and the European empires","An American proclamation that China should be divided up between the US, Japan and the European empires.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991?,Lack of US firepower,Lack of US firepower.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,Why do Liberal Internationalists argue that international institutions are important to US grand strategy?,The US is incapable of acting alone,They promote cooperation and collective action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,The dominant course for foreign policy throughout most of American history can be categorized as,protectionism.,protectionism.,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
11,"Who said ""Globalization is not something we can hold off or turn off. It is the economic equivalent of a force of nature-like wind or water""?",George Soros,George Soros,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,What are the key elements of the Liberal approach to US foreign policy?,"Alliances, diplomacy and protectionism","Alliances, diplomacy and protectionism.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,That the United States no longer needed to be militarily strong,That military spending gave the arms industry unwarranted influence on politics and government,0.18181818181818182,0.15384615384615385,0.16666666666666669,0.0,0.0,0.0,0.18181818181818182,0.15384615384615385,0.16666666666666669
14,"Within the United Nations, real power is located in",the Council of Ministers.,the Council of Ministers.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,"In general, how do conservatives and liberals differ when it comes to defense spending?",Conservatives are skeptical of increases in defense spending; liberals advocate increases in defense spending.,Conservatives advocate increases in defense spending; liberals are generally skeptical of increases in defense spending.,1.0,0.9333333333333333,0.9655172413793104,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.7142857142857143,0.6666666666666666,0.689655172413793
16,Intergovernmental organizations SELDOM do which of the following?,Provide fora for discussion,Facilitate direct negotiations between parties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,What is direct diplomacy?,Face-to-face meetings between state leaders,Face-to-face meetings between state leaders.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,How many major powers are there in a multipolar system?,0,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
19,The trade-off between defense and social spending is often referred to as a choice between,bread and butter.,guns and butter.,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
