,id,goal,sol1,sol2,label,slot_question,slot_answer,pred_answer
0,fe68f9ec-09fd-436e-bcaf-07863711ec2b,dresser,replace drawer with bobby pin ,"finish, woodgrain with  bobby pin ",1,"dresser
sol1:
sol2:finish, woodgrain with  bobby pin ",replace drawer with bobby pin ,Use sandpaper for a smooth finish
1,d73182e6-6916-48a0-b31f-2137e350776f,To fight Ivan Drago in Rocky for sega master system.,Drago isn't in this game because it was released before Rocky IV.,You have to defeat Apollo Creed and Clubber Lang first.,1,"To fight Ivan Drago in Rocky for sega master system.
sol1:
sol2:You have to defeat Apollo Creed and Clubber Lang first.",Drago isn't in this game because it was released before Rocky IV.,"You have to defeat Apollo Creed and Clubber Lang first, and then you can fight Ivan Drago."
2,f8232939-914b-4a5a-af72-dc37cd042263,How do you attach toilet paper to a glass jar?,Press a piece of double-sided tape to the glass jar and then press the toilet paper onto the tape.,Spread mayonnaise all over the jar with your palms and then roll the jar in toilet paper.,0,"How do you attach toilet paper to a glass jar?
sol1:Press a piece of double-sided tape to the glass jar and then press the toilet paper onto the tape.
sol2:",Spread mayonnaise all over the jar with your palms and then roll the jar in toilet paper.,Use glue or adhesive to stick the toilet paper onto the glass jar.
3,8748b18c-01df-4544-96ca-1defe1b182b7,how do you put eyelashes on?,glue them on with mascara.,"put eyelash glue on the fake eyelashes and then let it get tacky. then, place it on top of your actual eyelashes and let it dry on.",1,"how do you put eyelashes on?
sol1:
sol2:put eyelash glue on the fake eyelashes and then let it get tacky. then, place it on top of your actual eyelashes and let it dry on.",glue them on with mascara.,"Using a pair of tweezers, carefully position the fake eyelashes as close to your natural lash line as possible and press them in place."
4,f1386ea3-ee1e-4395-a760-747e37b11c30,Find spices easily in the kitchen.,Arrange spices from hot to mild in the kitchen in order to find them by taste.,Arrange your spices alphabetically to make finding them easy.,1,"Find spices easily in the kitchen.
sol1:
sol2:Arrange your spices alphabetically to make finding them easy.",Arrange spices from hot to mild in the kitchen in order to find them by taste.,Label your spice jars clearly with the names of the spices.
5,c32c4c0d-2121-4e71-8d0a-b57afbae9cc3,How to clean blinds without tearing them up,Place a cloth on each side of a pair of tongs.,"Find a feather duster, and cut the feathers off every two inches.",0,"How to clean blinds without tearing them up
sol1:Place a cloth on each side of a pair of tongs.
sol2:","Find a feather duster, and cut the feathers off every two inches.",Gently wipe the blinds with a microfiber cloth in a back and forth motion.
6,a7ac4229-d8f2-4245-aaef-ca6f702a50d8,"To get a video game console for a cheap price,",look for the console on a website that sells used goods.,look up which console is the cheapest one in store.,0,"To get a video game console for a cheap price,
sol1:look for the console on a website that sells used goods.
sol2:",look up which console is the cheapest one in store.,Wait for a sale or promotion at a retail store.
7,5b9e2516-8fef-4e1f-aa5b-f3c26a45b063,How to best cut the meat to place on a grill?,Place a knife on the grill for around 15 minutes for the blade to be red hot. Gently push the knife through the meat to get a perfect cut.,Use a sharp knife or scissor and cut the meat properly as per the required size.,1,"How to best cut the meat to place on a grill?
sol1:
sol2:Use a sharp knife or scissor and cut the meat properly as per the required size.",Place a knife on the grill for around 15 minutes for the blade to be red hot. Gently push the knife through the meat to get a perfect cut.,Marinate the meat before grilling it
8,6f63b8b8-18cb-4e40-a14a-21ffd330f7a2,How to make sure all the clocks in the house are set accurately?,"Get a solar clock for a reference and place it just outside a window that gets lots of sun. Use a system of call and response once a month, having one person stationed at the solar clock who yells out the correct time and have another person move to each of the indoor clocks to check if they are showing the right time. Adjust as necessary.","Replace all wind-ups with digital clocks. That way, you set them once, and that's it. Check the batteries once a year or if you notice anything looks a little off.",1,"How to make sure all the clocks in the house are set accurately?
sol1:
sol2:Replace all wind-ups with digital clocks. That way, you set them once, and that's it. Check the batteries once a year or if you notice anything looks a little off.","Get a solar clock for a reference and place it just outside a window that gets lots of sun. Use a system of call and response once a month, having one person stationed at the solar clock who yells out the correct time and have another person move to each of the indoor clocks to check if they are showing the right time. Adjust as necessary.",Sync the clocks with an atomic clock or a reliable time source.
9,1bd79148-aaa9-4c07-8b3f-3138b1034268,How do you make raw nuts have more flavor.,Boil the nuts in milk for about 20 minutes while stirring constantly.,Toast the nuts in a skillet for a few minutes while stirring constantly.,1,"How do you make raw nuts have more flavor.
sol1:
sol2:Toast the nuts in a skillet for a few minutes while stirring constantly.",Boil the nuts in milk for about 20 minutes while stirring constantly.,Soak the nuts in a flavored marinade or seasoning mixture for a few hours before consuming.
